province,name,"number,",con,ndp,lib,grn,bq,oth,projected_winner,strategic_vote,confidence,turnout_2011
AB,Calgary Centre,48004,0.3663352658145987,0.09928910973717596,0.46397763803287767,0.06854207719429424,0,0.0018559092210534756,LIB,LIB,0.65194225894622715,0.5411569643719728
AB,Calgary Heritage,48007,0.6350443527086471,0.11485376251386309,0.20981940901476578,0.03505601956554679,0,0.0052264561971773135,CON,LIB,0.95551909553013825,0.6061714463597805
AB,Calgary Forest Lawn,48006,0.4549279233692086,0.10481504226048773,0.40907869487149506,0.03117387151348671,0,4.467985321942791e-06,CON,LIB,0.57275670145892621,0.4355241088669326
PE,Egmont,11003,0.3054751767722667,0.08821011810701537,0.5787206562975089,0.027594048823209004,0,0,LIB,LIB,0.86279913055408952,0.7042320844210759
QC,LaSalle--Émard--Verdun,24037,0.11287183061520123,0.25579155412355065,0.4451773425571535,0.031150751447376394,0.15500852125671818,0.0,LIB,LIB,0.77563773879295805,0.5833024960309408
QC,La Prairie,24034,0.12603322648505288,0.30247872896323946,0.35541579687993663,0.02085868520377842,0.1952135624679926,0,LIB,LIB,0.58384828672866074,0.6623298508048171
QC,Lac-Saint-Jean,24035,0.5041668331046553,0.21961529211567998,0.06830886207407955,0.014784815201359169,0.1931241975042261,0.0,CON,NDP,0.87248279728271261,0.6361985117478174
QC,Jonquière,24032,0.4246681516755044,0.3070625469954042,0.07107597795961751,0.015383731590334534,0.18180959177913936,0.0,CON,NDP,0.68097337489925625,0.6526635330983157
QC,La Pointe-de-l'Île,24033,0.09853224811619744,0.3275964320748845,0.2555048345412411,0.027987400100931766,0.29037908516674515,0,NDP,NDP,0.55917165143365555,0.6007641802594827
QC,Hull--Aylmer,24030,0.11168594880836583,0.3706019417472171,0.4216238975016372,0.0256237616673293,0.0704644502754506,0,LIB,LIB,0.58085756504931763,0.6406146475714796
PE,Malpeque,11004,0.18699107595750883,0.088779034020067,0.6701180932167338,0.054111796805690324,0,0,LIB,LIB,0.97335158645820952,0.7539193104985512
NS,Halifax West,12006,0.15336552178087,0.18733069908608974,0.5965731594610004,0.0627306196720399,0,0,LIB,LIB,0.9491816143787023,0.6136461804270024
NS,Kings--Hants,12007,0.17947910529088568,0.12470281077042102,0.6417551473469396,0.05406293659175377,0,0,LIB,LIB,0.96777861368349039,0.6145512967638284
NS,Dartmouth--Cole Harbour,12004,0.1270671465470525,0.23830307285077243,0.5783505723105149,0.056279208291660214,0,0,LIB,LIB,0.91311509653729672,0.6100042978552316
NS,Halifax,12005,0.09953488459753705,0.36228536262447936,0.4676540830405843,0.0705256697373994,0,0,LIB,LIB,0.66329582535463516,0.6268536801252809
NS,Central Nova,12002,0.3292610087405253,0.16551671970382445,0.4282956385404643,0.076926633015186,0,0.0,LIB,LIB,0.6539985782490263,0.6483488992661774
NS,Cumberland--Colchester,12003,0.3331512029271311,0.07067343017859755,0.529748733544241,0.06566366589763005,0,0.0007629674524004035,LIB,LIB,0.7841805157780759,0.579234804072817
